"Postcode","Age Group","Number of People"
3059,"25_34",2176
3059,"35_44",1957
3059,"45_54",2497
3059,"55_64",1889
3059,"65_74",972
3059,"75_84",352
3060,"0_4",1157
3060,"5_14",1862
3060,"15_19",767
3060,"20_24",900
3060,"25_34",2383
3060,"35_44",1877
3060,"45_54",1465
3060,"55_64",1152
3060,"65_74",855
3060,"75_84",1082
3061,"0_4",328
3061,"5_14",691
3061,"15_19",328
3061,"20_24",360
3061,"25_34",731
3061,"35_44",607
3061,"45_54",609
3061,"55_64",480
3061,"65_74",524
3061,"75_84",311
3062,"0_4",0
3062,"5_14",0
3062,"15_19",0
3062,"20_24",0
3062,"25_34",0
3062,"35_44",0
3062,"45_54",0
3062,"55_64",0
3062,"65_74",0
3062,"75_84",0
3063,"0_4",17
3063,"5_14",92
3063,"15_19",49
3063,"20_24",26
3063,"25_34",42
3063,"35_44",83
3063,"45_54",103
3063,"55_64",68
3063,"65_74",58
3063,"75_84",24
3064,"0_4",7258
3064,"5_14",12339
3064,"15_19",5553
3064,"20_24",5527
3064,"25_34",13505
3064,"35_44",11686
3064,"45_54",9545
3064,"55_64",5777
3064,"65_74",2831
3064,"75_84",1093
3065,"0_4",546
3065,"5_14",649
3065,"15_19",298
3065,"20_24",874
3065,"25_34",3143
3065,"35_44",1723
3065,"45_54",1235
3065,"55_64",936
3065,"65_74",580
3065,"75_84",326
3066,"0_4",431
3066,"5_14",550
3066,"15_19",267
3066,"20_24",731
3066,"25_34",2975
3066,"35_44",1457
3066,"45_54",903
3066,"55_64",630
3066,"65_74",325
3066,"75_84",183
3067,"0_4",324
3067,"5_14",325
3067,"15_19",213
3067,"20_24",760
3067,"25_34",3185
3067,"35_44",1289
3067,"45_54",785
3067,"55_64",615
3067,"65_74",419
3067,"75_84",185
3068,"0_4",931
3068,"5_14",1702
3068,"15_19",600
3068,"20_24",1168
3068,"25_34",4456
3068,"35_44",3175
3068,"45_54",2334
3068,"55_64",1981
3068,"65_74",1387
3068,"75_84",709
3070,"0_4",1376
3070,"5_14",2635
3070,"15_19",1022
3070,"20_24",1554
3070,"25_34",5040
3070,"35_44",4134
3070,"45_54",3526
3070,"55_64",2244
3070,"65_74",1426
3070,"75_84",1094
3071,"0_4",1131
3071,"5_14",1848
3071,"15_19",655
3071,"20_24",1271
3071,"25_34",3828
3071,"35_44",3426
3071,"45_54",2437
3071,"55_64",1584
3071,"65_74",1004
3071,"75_84",937
3072,"0_4",1987
3072,"5_14",3268
3072,"15_19",1477
3072,"20_24",2498
3072,"25_34",6367
3072,"35_44",5462
3072,"45_54",4427
3072,"55_64",3128
3072,"65_74",2012
3072,"75_84",1561
3073,"0_4",3393
3073,"5_14",4824
3073,"15_19",2200
3073,"20_24",3345
3073,"25_34",9561
3073,"35_44",7348
3073,"45_54",6047
3073,"55_64",4807
3073,"65_74",3866
3073,"75_84",3323
3074,"0_4",1233
3074,"5_14",2131
3074,"15_19",1037
3074,"20_24",1420
3074,"25_34",3323
3074,"35_44",2523
3074,"45_54",2364
3074,"55_64",2379
3074,"65_74",2241
3074,"75_84",1480
3075,"0_4",1582
3075,"5_14",2561
3075,"15_19",1315
3075,"20_24",1413
3075,"25_34",3673
3075,"35_44",3113
3075,"45_54",2630
3075,"55_64",2244
3075,"65_74",2135
3075,"75_84",1530
3076,"0_4",2825
3076,"5_14",4349
3076,"15_19",1856
3076,"20_24",2233
3076,"25_34",5850
3076,"35_44",5039
3076,"45_54",3949
3076,"55_64",3149
3076,"65_74",1858
3076,"75_84",894
3078,"0_4",580
3078,"5_14",1223
3078,"15_19",662
3078,"20_24",883
3078,"25_34",2121
3078,"35_44",1730
3078,"45_54",1773
3078,"55_64",1275
3078,"65_74",743
3078,"75_84",440
3079,"0_4",822
3079,"5_14",1863
3079,"15_19",1033
3079,"20_24",964
3079,"25_34",2065
3079,"35_44",2119
3079,"45_54",2421
3079,"55_64",2080
3079,"65_74",1423
3079,"75_84",750
3081,"0_4",990
3081,"5_14",1399
3081,"15_19",737
3081,"20_24",964
3081,"25_34",2504
3081,"35_44",1894
3081,"45_54",1671
3081,"55_64",1448
3081,"65_74",942
3081,"75_84",533
3082,"0_4",1661
3082,"5_14",3401
3082,"15_19",2037
3082,"20_24",2406
3082,"25_34",4367
3082,"35_44",3607
3082,"45_54",4596
3082,"55_64",4151
3082,"65_74",2131
3082,"75_84",1011
3083,"0_4",1623
3083,"5_14",3014
3083,"15_19",1915
3083,"20_24",3825
3083,"25_34",5554
3083,"35_44",3782
3083,"45_54",3706
3083,"55_64",3085
3083,"65_74",2685
3083,"75_84",1684
3084,"0_4",1581
3084,"5_14",3212
3084,"15_19",1384
3084,"20_24",1424
3084,"25_34",2979
3084,"35_44",3605
3084,"45_54",3430
3084,"55_64",2931
3084,"65_74",2440
3084,"75_84",1658
3085,"0_4",946
3085,"5_14",1696
3085,"15_19",773
3085,"20_24",911
3085,"25_34",1844
3085,"35_44",2143
3085,"45_54",1872
3085,"55_64",1458
3085,"65_74",1107
3085,"75_84",712
3086,"0_4",15
3086,"5_14",7
3086,"15_19",341
3086,"20_24",434
3086,"25_34",70
3086,"35_44",28
3086,"45_54",4
3086,"55_64",3
3086,"65_74",0
3086,"75_84",0
3087,"0_4",602
3087,"5_14",1058
3087,"15_19",495
3087,"20_24",492
3087,"25_34",1236
3087,"35_44",1425
3087,"45_54",1119
3087,"55_64",1010
3087,"65_74",842
3087,"75_84",562
3088,"0_4",1728
3088,"5_14",3343
3088,"15_19",1484
3088,"20_24",1490
3088,"25_34",3357
3088,"35_44",3853
3088,"45_54",3658
3088,"55_64",3502
3088,"65_74",2636
3088,"75_84",1272
3089,"0_4",696
3089,"5_14",1656
3089,"15_19",944
3089,"20_24",833
3089,"25_34",1322
3089,"35_44",1612
3089,"45_54",1957
3089,"55_64",1524
3089,"65_74",814
3089,"75_84",287
3090,"0_4",78
3090,"5_14",397
3090,"15_19",231
3090,"20_24",174
3090,"25_34",191
3090,"35_44",293
3090,"45_54",451
3090,"55_64",282
3090,"65_74",184
3090,"75_84",70
3091,"0_4",60
3091,"5_14",203
3091,"15_19",138
3091,"20_24",127
3091,"25_34",124
3091,"35_44",155
3091,"45_54",299
3091,"55_64",224
3091,"65_74",179
3091,"75_84",52
3093,"0_4",214
3093,"5_14",404
3093,"15_19",221
3093,"20_24",226
3093,"25_34",433
3093,"35_44",505
3093,"45_54",516
3093,"55_64",522
3093,"65_74",436
3093,"75_84",256
3094,"0_4",638
3094,"5_14",1096
3094,"15_19",489
3094,"20_24",421
3094,"25_34",1067
3094,"35_44",1395
3094,"45_54",1210
3094,"55_64",1190
3094,"65_74",949
3094,"75_84",383
3095,"0_4",1524
3095,"5_14",3954
3095,"15_19",1980
3095,"20_24",1760
3095,"25_34",2412
3095,"35_44",3653
3095,"45_54",4435
3095,"55_64",4250
3095,"65_74",2582
3095,"75_84",911
3096,"0_4",84
3096,"5_14",258
3096,"15_19",178
3096,"20_24",137
3096,"25_34",194
3096,"35_44",204
3096,"45_54",296
3096,"55_64",271
3096,"65_74",192
3096,"75_84",87
3097,"0_4",62
3097,"5_14",228
3097,"15_19",119
3097,"20_24",84
3097,"25_34",88
3097,"35_44",178
3097,"45_54",261
3097,"55_64",195
3097,"65_74",177
3097,"75_84",42
3099,"0_4",238
3099,"5_14",725
3099,"15_19",367
3099,"20_24",272
3099,"25_34",403
3099,"35_44",669
3099,"45_54",740
3099,"55_64",810
3099,"65_74",455
3099,"75_84",158
3101,"0_4",1065
3101,"5_14",2883
3101,"15_19",1690
3101,"20_24",1907
3101,"25_34",3412
3101,"35_44",2979
3101,"45_54",3548
3101,"55_64",2946
3101,"65_74",2182
3101,"75_84",1215
3102,"0_4",376
3102,"5_14",966
3102,"15_19",466
3102,"20_24",420
3102,"25_34",674
3102,"35_44",861
3102,"45_54",1090
3102,"55_64",722
3102,"65_74",581
3102,"75_84",322
3103,"0_4",604
3103,"5_14",1846
3103,"15_19",1266
3103,"20_24",1105
3103,"25_34",1571
3103,"35_44",1652
3103,"45_54",2281
3103,"55_64",1948
3103,"65_74",1476
3103,"75_84",986
3104,"0_4",820
3104,"5_14",2983
3104,"15_19",1848
3104,"20_24",1452
3104,"25_34",1715
3104,"35_44",2268
3104,"45_54",3395
3104,"55_64",2483
3104,"65_74",1655
3104,"75_84",1097
3105,"0_4",557
3105,"5_14",1091
3105,"15_19",606
3105,"20_24",627
3105,"25_34",1218
3105,"35_44",1335
3105,"45_54",1604
3105,"55_64",1219
3105,"65_74",1129
3105,"75_84",1108
3106,"0_4",697
3106,"5_14",1897
3106,"15_19",1048
3106,"20_24",1017
3106,"25_34",1715
3106,"35_44",1804
3106,"45_54",2384
3106,"55_64",2417
3106,"65_74",1952
3106,"75_84",1117
3107,"0_4",730
3107,"5_14",1554
3107,"15_19",745
3107,"20_24",702
3107,"25_34",1359
3107,"35_44",1787
3107,"45_54",1884
3107,"55_64",1455
3107,"65_74",1557
3107,"75_84",1266
3108,"0_4",936
3108,"5_14",1837
3108,"15_19",1218
3108,"20_24",1464
3108,"25_34",3152
3108,"35_44",2444
3108,"45_54",2659
3108,"55_64",2343
3108,"65_74",2169
3108,"75_84",1895
3109,"0_4",1480
3109,"5_14",3244
3109,"15_19",1880
3109,"20_24",1722
3109,"25_34",3341
3109,"35_44",3705
3109,"45_54",3852
3109,"55_64",3434
3109,"65_74",2896
3109,"75_84",1977
3111,"0_4",627
3111,"5_14",1490
3111,"15_19",808
3111,"20_24",713
3111,"25_34",1188
3111,"35_44",1478
3111,"45_54",1780
3111,"55_64",1559
3111,"65_74",1309
3111,"75_84",853
3113,"0_4",396
3113,"5_14",1315
3113,"15_19",690
3113,"20_24",527
3113,"25_34",614
3113,"35_44",1038
3113,"45_54",1525
3113,"55_64",1240
3113,"65_74",765
3113,"75_84",288
3114,"0_4",136
3114,"5_14",623
3114,"15_19",378
3114,"20_24",280
3114,"25_34",190
3114,"35_44",402
3114,"45_54",741
3114,"55_64",533
3114,"65_74",343
3114,"75_84",161
3115,"0_4",157
3115,"5_14",511
3115,"15_19",370
3115,"20_24",314
3115,"25_34",254
3115,"35_44",408
3115,"45_54",706
3115,"55_64",590
3115,"65_74",347
3115,"75_84",124
3116,"0_4",580
3116,"5_14",1160
3116,"15_19",683
3116,"20_24",651
3116,"25_34",1308
3116,"35_44",1197
3116,"45_54",1364
3116,"55_64",1236
3116,"65_74",1061
3116,"75_84",474
3121,"0_4",1311
3121,"5_14",1752
3121,"15_19",896
3121,"20_24",2459
3121,"25_34",10133
3121,"35_44",4944
3121,"45_54",3384
3121,"55_64",2552
3121,"65_74",1735
3121,"75_84",983
3122,"0_4",1023
3122,"5_14",2036
3122,"15_19",1414
3122,"20_24",2827
3122,"25_34",5931
3122,"35_44",3223
3122,"45_54",2522
3122,"55_64",1890
3122,"65_74",1534
3122,"75_84",760
3123,"0_4",776
3123,"5_14",1516
3123,"15_19",759
3123,"20_24",1304
3123,"25_34",2997
3123,"35_44",2067
3123,"45_54",1640
3123,"55_64",1381
3123,"65_74",1037
3123,"75_84",556
3124,"0_4",1006
3124,"5_14",2866
3124,"15_19",1562
3124,"20_24",1662
3124,"25_34",2391
3124,"35_44",2553
3124,"45_54",3239
3124,"55_64",2545
3124,"65_74",2034
3124,"75_84",1300
3125,"0_4",653
3125,"5_14",1298
3125,"15_19",1292
3125,"20_24",2589
3125,"25_34",2561
3125,"35_44",1520
3125,"45_54",1584
