"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","lon","lat"
"mint.88","19.59216","19.65291","20.23158","19.85819","20.28626","20.92297","20.27425","20.99577","20.10359","19.58164","19.90192","19.72129","19.99753","20.90082","19.84274","19.95341","20.51607","19.50884","20.03547","19.81728","19.61425","19.62944","20.19086","20.57235","20.31936","20.44361","20.79477","20.56346","20.32384","20.57584","20.99352","20.68567","20.81139","20.12648","20.81082","20.44834","20.22055","20.01694","21.13890","21.18544","20.82301","21.26858","21.57970","20.91178","23.41126","150.8","-35.09"
"mint.89","19.62386","19.96970","20.27879","20.09339","20.29750","21.21302","20.44791","20.50468","20.04121","19.67814","20.04192","19.97123","20.13808","20.76503","19.97603","20.28192","20.48493","19.52705","20.16603","20.29863","19.49205","19.73087","20.25671","20.79014","20.41648","20.66456","20.99452","20.80879","20.55372","21.01284","20.69096","20.63681","20.77479","20.46475","21.12027","20.49699","20.25096","20.07867","21.01096","20.83096","20.47032","21.53443","21.08740","21.02822","23.01722","150.15","-35.91"
"mint.90","18.00132","18.92923","19.99862","18.93452","20.43644","20.82630","19.83425","21.12164","19.33260","18.73770","19.49562","19.30055","19.87890","20.03306","18.73699","19.62329","20.22603","18.31667","19.47808","20.28904","18.92356","19.10820","20.96575","20.39616","19.87863","19.80355","20.71346","21.00603","20.23699","21.03880","21.01260","21.74932","21.20274","20.43798","21.31370","20.16795","20.29425","20.14180","21.72274","21.47397","21.05836","21.19344","21.54658","21.99589","25.72053","149.2","-35.31"
"mint.91","20.66144","22.18798","22.77014","21.74082","23.01233","23.12377","22.23768","23.62740","21.90301","21.57923","21.88877","21.47671","22.33699","22.93607","21.59397","22.81370","22.98137","21.01967","22.12397","22.72055","21.40767","21.56175","23.39014","22.69068","22.56384","22.16421","22.97555","23.60630","22.86082","22.90683","23.14164","24.33014","23.77616","22.87377","24.19425","22.11096","22.26055","22.35956","23.65315","23.70822","22.85726","22.86967","23.67425","24.08137","28.01788","147.46","-35.16"
"mint.92"," 9.815563","10.921008","11.675275","10.777348","11.926648","12.164463","11.792614","12.784857","11.731319","10.588798","11.265934","10.929577","11.657418","12.520879","11.134986","11.816209","12.016986","10.437705","11.446301","11.327397","10.971233","10.821370","12.390031","11.800912","12.427692","11.698187","11.924179","12.632312","12.407242","12.235912","12.600000","13.778992","13.196936","12.021727","12.994199","12.097790","12.000824","11.768306","13.133425","13.250959","12.600560","12.404098","12.593151","12.885205","17.054305","148.38","-35.94"
"mint.93","21.04020","22.66676","23.19643","22.21841","23.36154","23.56202","23.16860","23.96566","22.50329","22.38274","22.72418","22.15863","22.86877","23.38169","22.51377","23.06978","23.37315","21.63661","22.43370","23.32630","22.12822","22.21068","23.60849","22.87808","23.14055","22.97732","23.35589","24.22473","22.98685","23.43279","23.36538","23.91436","24.30301","23.29590","24.61821","22.51945","23.05082","23.35519","24.17726","24.52521","23.75315","23.34235","24.23151","24.97123","28.61391","144.95","-35.56"
"mint.94","22.59412","23.50984","24.32624","23.52473","24.72247","24.97213","24.38774","25.32603","24.28411","23.74180","24.41973","23.58904","24.10000","25.02486","23.90082","24.78329","24.59671","23.26612","24.03425","24.67753","23.75151","23.91831","24.54493","24.26411","24.33068","24.61507","24.66630","25.26593","24.52658","24.73552","24.93315","25.10000","25.47068","24.54699","25.50904","23.95205","24.38137","24.75437","25.69616","25.78329","25.11699","24.78825","25.50849","25.69507","29.31656","142.09","-34.24"
"mint.95","20.65000","21.60847","22.28006","21.82329","22.11444","22.71790","22.47819","23.20904","21.93836","21.59528","22.21671","21.34329","22.02967","22.79590","22.01397","22.76986","22.19972","20.94313","22.13609","21.99088","20.85489","21.26401","22.66767","22.00416","22.72346","22.89917","22.20784","22.91083","22.14066","22.15852","22.54658","23.11205","23.30795","22.21639","23.09562","21.74050","22.18603","22.39890","22.56849","23.00559","22.63644","21.95683","22.54356","22.73699","26.71333","141.65","-36.31"
"mint.96","21.22434","22.45762","22.87610","22.25166","22.84751","23.27507","23.03544","23.72201","22.34676","22.27376","22.67091","21.78398","22.53040","23.18674","22.42390","23.11978","23.03890","21.45604","22.51562","23.20466","22.06868","21.95546","23.46538","22.96612","23.10249","23.18544","23.39696","24.02033","23.03544","23.22111","23.37741","24.00329","24.21215","23.39944","24.34571","22.83934","23.11136","23.19061","24.30386","24.64247","24.08264","23.46160","24.16908","24.58702","28.63960","143.92","-35.72"
"mint.97","20.02903","21.49469","21.76250","20.83583","21.65543","22.30806","21.47356","22.73966","21.22575","20.93077","21.13928","20.79421","21.47151","22.09780","21.10110","21.74055","22.05425","20.38634","21.06411","21.89644","20.54821","20.59392","22.44819","21.84139","22.11472","21.48812","22.15829","22.85994","21.98301","22.00630","21.96391","23.43200","23.30305","22.35219","23.13370","21.79808","21.71621","21.81093","22.95425","23.19945","22.64079","22.91108","23.00962","23.70467","27.84106","146.51","-36.1"
